DateTime,Entries,UniqueIPs
1608715545,2885,2885
1608716959,2865,2865
1608718493,2866,2866
1608719680,2867,2867
1608721068,2873,2873
1608722386,2873,2873
1608723282,2863,2863
1608724604,2862,2862
1608726215,2868,2868
1608726884,2861,2861
1608728701,2869,2869
1608730480,2870,2870
1608733284,2888,2888
1608734643,2885,2885
1608735878,2889,2889
1608737684,2900,2900
1608739885,2904,2904
1608741280,2908,2908
1608742557,2923,2923
1608744883,2941,2941
1608747024,2957,2957
1608748362,2968,2968
1608752086,2846,2846
1608753280,2721,2721
1608755029,1844,1844
1608756648,1821,1821
1608759293,1836,1836
1608760796,1836,1836
1608762324,1848,1848
1608764377,1848,1848
1608765583,1855,1855
1608766492,1851,1851
1608768657,1862,1862
1608770082,1866,1866
1608772853,1879,1879
1608773685,1874,1874
1608776152,1870,1870
1608777289,1868,1868
1608780353,1871,1871
1608781923,1861,1861
1608783695,1855,1855
1608784492,1848,1848
1608787182,1849,1849
1608788089,1843,1843
1608789837,1839,1839
1608791687,1829,1829
1608793596,1821,1821
1608795289,1816,1816
1608798344,1826,1826
1608799828,1832,1832
1608801235,1837,1837
1608803448,1838,1838
1608804811,1838,1838
1608805941,1841,1841
1608807240,1842,1842
1608809004,1850,1850
1608810653,1850,1850
1608813286,1847,1847
1608815324,1867,1867
1608816882,1903,1903
1608819034,1933,1933
1608820489,1930,1930
1608823550,1937,1937
1608824956,1929,1929
1608827685,1927,1927
1608829078,1932,1932
1608830749,1935,1935
1608832567,1925,1925
1608834346,1926,1926
1608834889,1921,1921
1608836585,1922,1922
1608838488,1923,1923
1608840448,1927,1927
1608842088,2017,2017
1608844114,2145,2145
1608845691,2130,2130
1608849280,2110,2110
1608852889,2216,2216
1608855608,2495,2495
1608860096,2480,2480
1608862914,2471,2471
1608863694,2465,2465
1608867297,2455,2455
1608870908,2455,2455
1608872357,2448,2448
1608873952,2457,2457
1608874489,2453,2453
1608877554,2449,2449
1608879607,2433,2433
1608880982,2438,2438
1608881683,2436,2436
1608883192,2429,2429
1608884747,2435,2435
1608886252,2434,2434
1608888884,2430,2430
1608891075,2422,2422
1608892496,2417,2417
1608894896,2430,2430
